[1/4] Creating LuaState...
[2/4] Opening standard library...
[3/4] Loading source (parse + compile)...
[4/4] Executing chunk...
testing tables, next, and for

 >>> testC not active: skipping tests for table sizes <<<
DUMP pc=15 raw=0x0300028b op=GetTabUp A=5 B=0 C=3 sBx=-63999 sJ=-16383994 k=0
DUMP pc=16 raw=0x00050239 op=Eq A=4 B=5 C=0 sBx=-65525 sJ=-16774651 k=0
DUMP pc=17 raw=0x80000038 op=Jmp A=0 B=0 C=128 sBx=1 sJ=1 k=0
DUMP pc=18 raw=0x00000206 op=LFalseSkip A=4 B=0 C=0 sBx=-65535 sJ=-16777211 k=0
DUMP pc=19 raw=0x00000207 op=LoadTrue A=4 B=0 C=0 sBx=-65535 sJ=-16777211 k=0
DUMP pc=20 raw=0x010201c4 op=Call A=3 B=2 C=1 sBx=-65019 sJ=-16645116 k=0
DUMP pc=21 raw=0x000000b9 op=Eq A=1 B=0 C=0 sBx=-65535 sJ=-16777214 k=0
DUMP pc=22 raw=0x7ffff4b8 op=Jmp A=233 B=255 C=127 sBx=0 sJ=-22 k=1
DUMP pc=23 raw=0x00020148 op=Return1 A=2 B=2 C=0 sBx=-65531 sJ=-16776189 k=0
DUMP pc=24 raw=0x7ffff3b8 op=Jmp A=231 B=255 C=127 sBx=0 sJ=-24 k=1
DUMP pc=25 raw=0x000101c7 op=Return0 A=3 B=1 C=0 sBx=-65533 sJ=-16776700 k=0
DUMP pc=0 raw=0x0000008b op=GetTabUp A=1 B=0 C=0 sBx=-65535 sJ=-16777214 k=0
DUMP pc=1 raw=0x0100010b op=GetTabUp A=2 B=0 C=1 sBx=-65023 sJ=-16646141 k=0
DUMP pc=2 raw=0x050200c4 op=Call A=1 B=2 C=5 sBx=-62971 sJ=-16120830 k=0
DUMP pc=3 raw=0x000180cb op=TForPrep A=1 B=1 C=0 sBx=-65532 sJ=-16776446 k=1
DUMP pc=4 raw=0x000002b9 op=Eq A=5 B=0 C=0 sBx=-65535 sJ=-16777210 k=0
DUMP pc=5 raw=0x80000038 op=Jmp A=0 B=0 C=128 sBx=1 sJ=1 k=0
DUMP pc=6 raw=0x00028346 op=Return A=6 B=2 C=0 sBx=-65530 sJ=-16775929 k=1
DUMP pc=7 raw=0x020000cc op=TForCall A=1 B=0 C=2 sBx=-64511 sJ=-16515070 k=0
DUMP pc=8 raw=0x000280cd op=TForLoop A=1 B=2 C=0 sBx=-65530 sJ=-16775934 k=1
DUMP pc=9 raw=0x000000b6 op=Close A=1 B=0 C=0 sBx=-65535 sJ=-16777214 k=0
DUMP pc=10 raw=0x00000088 op=LoadNil A=1 B=0 C=0 sBx=-65535 sJ=-16777214 k=0
DUMP pc=11 raw=0x000280c6 op=Return A=1 B=2 C=0 sBx=-65530 sJ=-16775934 k=1
DUMP pc=12 raw=0x000180c6 op=Return A=1 B=1 C=0 sBx=-65532 sJ=-16776446 k=1
DUMP pc=0 raw=0x00010088 op=LoadNil A=1 B=1 C=0 sBx=-65533 sJ=-16776702 k=0
DUMP pc=1 raw=0x0000018b op=GetTabUp A=3 B=0 C=0 sBx=-65535 sJ=-16777212 k=0
DUMP pc=2 raw=0x0100020b op=GetTabUp A=4 B=0 C=1 sBx=-65023 sJ=-16646139 k=0
DUMP pc=3 raw=0x00010280 op=Move A=5 B=1 C=0 sBx=-65533 sJ=-16776698 k=0
DUMP pc=4 raw=0x030301c4 op=Call A=3 B=3 C=3 sBx=-63993 sJ=-16382460 k=0
DUMP pc=5 raw=0x00040100 op=Move A=2 B=4 C=0 sBx=-65527 sJ=-16775165 k=0
DUMP pc=6 raw=0x00030080 op=Move A=1 B=3 C=0 sBx=-65529 sJ=-16775678 k=0
DUMP pc=7 raw=0x000101b3 op=Not A=3 B=1 C=0 sBx=-65533 sJ=-16776700 k=0
DUMP pc=8 raw=0x000001c2 op=Test A=3 B=0 C=0 sBx=-65535 sJ=-16777212 k=0
DUMP pc=9 raw=0x800000b8 op=Jmp A=1 B=0 C=128 sBx=1 sJ=2 k=0
DUMP pc=10 raw=0x00010189 op=GetUpVal A=3 B=1 C=0 sBx=-65533 sJ=-16776700 k=0
DUMP pc=11 raw=0x000201c8 op=Return1 A=3 B=2 C=0 sBx=-65531 sJ=-16776188 k=0
DUMP pc=12 raw=0x0200018b op=GetTabUp A=3 B=0 C=2 sBx=-64511 sJ=-16515068 k=0
DUMP pc=13 raw=0x0100020b op=GetTabUp A=4 B=0 C=1 sBx=-65023 sJ=-16646139 k=0
DUMP pc=14 raw=0x0104020c op=GetTable A=4 B=4 C=1 sBx=-65015 sJ=-16644091 k=0
DUMP pc=15 raw=0x0300028b op=GetTabUp A=5 B=0 C=3 sBx=-63999 sJ=-16383994 k=0
DUMP pc=16 raw=0x00050239 op=Eq A=4 B=5 C=0 sBx=-65525 sJ=-16774651 k=0
DUMP pc=17 raw=0x80000038 op=Jmp A=0 B=0 C=128 sBx=1 sJ=1 k=0
DUMP pc=18 raw=0x00000206 op=LFalseSkip A=4 B=0 C=0 sBx=-65535 sJ=-16777211 k=0
DUMP pc=19 raw=0x00000207 op=LoadTrue A=4 B=0 C=0 sBx=-65535 sJ=-16777211 k=0
DUMP pc=20 raw=0x010201c4 op=Call A=3 B=2 C=1 sBx=-65019 sJ=-16645116 k=0
DUMP pc=21 raw=0x000000b9 op=Eq A=1 B=0 C=0 sBx=-65535 sJ=-16777214 k=0
DUMP pc=22 raw=0x7ffff4b8 op=Jmp A=233 B=255 C=127 sBx=0 sJ=-22 k=1
DUMP pc=23 raw=0x00020148 op=Return1 A=2 B=2 C=0 sBx=-65531 sJ=-16776189 k=0
DUMP pc=24 raw=0x7ffff3b8 op=Jmp A=231 B=255 C=127 sBx=0 sJ=-24 k=1
DUMP pc=25 raw=0x000101c7 op=Return0 A=3 B=1 C=0 sBx=-65533 sJ=-16776700 k=0
DUMP pc=0 raw=0x0000008b op=GetTabUp A=1 B=0 C=0 sBx=-65535 sJ=-16777214 k=0
DUMP pc=1 raw=0x0100010b op=GetTabUp A=2 B=0 C=1 sBx=-65023 sJ=-16646141 k=0
DUMP pc=2 raw=0x050200c4 op=Call A=1 B=2 C=5 sBx=-62971 sJ=-16120830 k=0
DUMP pc=3 raw=0x000180cb op=TForPrep A=1 B=1 C=0 sBx=-65532 sJ=-16776446 k=1
DUMP pc=4 raw=0x000002b9 op=Eq A=5 B=0 C=0 sBx=-65535 sJ=-16777210 k=0
DUMP pc=5 raw=0x80000038 op=Jmp A=0 B=0 C=128 sBx=1 sJ=1 k=0
DUMP pc=6 raw=0x00028346 op=Return A=6 B=2 C=0 sBx=-65530 sJ=-16775929 k=1
DUMP pc=7 raw=0x020000cc op=TForCall A=1 B=0 C=2 sBx=-64511 sJ=-16515070 k=0
DUMP pc=8 raw=0x000280cd op=TForLoop A=1 B=2 C=0 sBx=-65530 sJ=-16775934 k=1
DUMP pc=9 raw=0x000000b6 op=Close A=1 B=0 C=0 sBx=-65535 sJ=-16777214 k=0
DUMP pc=10 raw=0x00000088 op=LoadNil A=1 B=0 C=0 sBx=-65535 sJ=-16777214 k=0
DUMP pc=11 raw=0x000280c6 op=Return A=1 B=2 C=0 sBx=-65530 sJ=-16775934 k=1
DUMP pc=12 raw=0x000180c6 op=Return A=1 B=1 C=0 sBx=-65532 sJ=-16776446 k=1
DUMP pc=0 raw=0x00010088 op=LoadNil A=1 B=1 C=0 sBx=-65533 sJ=-16776702 k=0
DUMP pc=1 raw=0x0000018b op=GetTabUp A=3 B=0 C=0 sBx=-65535 sJ=-16777212 k=0
DUMP pc=2 raw=0x0100020b op=GetTabUp A=4 B=0 C=1 sBx=-65023 sJ=-16646139 k=0
DUMP pc=3 raw=0x00010280 op=Move A=5 B=1 C=0 sBx=-65533 sJ=-16776698 k=0
DUMP pc=4 raw=0x030301c4 op=Call A=3 B=3 C=3 sBx=-63993 sJ=-16382460 k=0
DUMP pc=5 raw=0x00040100 op=Move A=2 B=4 C=0 sBx=-65527 sJ=-16775165 k=0
DUMP pc=6 raw=0x00030080 op=Move A=1 B=3 C=0 sBx=-65529 sJ=-16775678 k=0
DUMP pc=7 raw=0x000101b3 op=Not A=3 B=1 C=0 sBx=-65533 sJ=-16776700 k=0
DUMP pc=8 raw=0x000001c2 op=Test A=3 B=0 C=0 sBx=-65535 sJ=-16777212 k=0
DUMP pc=9 raw=0x800000b8 op=Jmp A=1 B=0 C=128 sBx=1 sJ=2 k=0
DUMP pc=10 raw=0x00010189 op=GetUpVal A=3 B=1 C=0 sBx=-65533 sJ=-16776700 k=0
DUMP pc=11 raw=0x000201c8 op=Return1 A=3 B=2 C=0 sBx=-65531 sJ=-16776188 k=0
DUMP pc=12 raw=0x0200018b op=GetTabUp A=3 B=0 C=2 sBx=-64511 sJ=-16515068 k=0
DUMP pc=13 raw=0x0100020b op=GetTabUp A=4 B=0 C=1 sBx=-65023 sJ=-16646139 k=0
DUMP pc=14 raw=0x0104020c op=GetTable A=4 B=4 C=1 sBx=-65015 sJ=-16644091 k=0
DUMP pc=15 raw=0x0300028b op=GetTabUp A=5 B=0 C=3 sBx=-63999 sJ=-16383994 k=0
DUMP pc=16 raw=0x00050239 op=Eq A=4 B=5 C=0 sBx=-65525 sJ=-16774651 k=0
DUMP pc=17 raw=0x80000038 op=Jmp A=0 B=0 C=128 sBx=1 sJ=1 k=0
DUMP pc=18 raw=0x00000206 op=LFalseSkip A=4 B=0 C=0 sBx=-65535 sJ=-16777211 k=0
DUMP pc=19 raw=0x00000207 op=LoadTrue A=4 B=0 C=0 sBx=-65535 sJ=-16777211 k=0
DUMP pc=20 raw=0x010201c4 op=Call A=3 B=2 C=1 sBx=-65019 sJ=-16645116 k=0
DUMP pc=21 raw=0x000000b9 op=Eq A=1 B=0 C=0 sBx=-65535 sJ=-16777214 k=0
DUMP pc=22 raw=0x7ffff4b8 op=Jmp A=233 B=255 C=127 sBx=0 sJ=-22 k=1
DUMP pc=23 raw=0x00020148 op=Return1 A=2 B=2 C=0 sBx=-65531 sJ=-16776189 k=0
DUMP pc=24 raw=0x7ffff3b8 op=Jmp A=231 B=255 C=127 sBx=0 sJ=-24 k=1
DUMP pc=25 raw=0x000101c7 op=Return0 A=3 B=1 C=0 sBx=-65533 sJ=-16776700 k=0
DUMP pc=0 raw=0x00010088 op=LoadNil A=1 B=1 C=0 sBx=-65533 sJ=-16776702 k=0
DUMP pc=1 raw=0x0000018b op=GetTabUp A=3 B=0 C=0 sBx=-65535 sJ=-16777212 k=0
DUMP pc=2 raw=0x0100020b op=GetTabUp A=4 B=0 C=1 sBx=-65023 sJ=-16646139 k=0
DUMP pc=3 raw=0x00010280 op=Move A=5 B=1 C=0 sBx=-65533 sJ=-16776698 k=0
DUMP pc=4 raw=0x030301c4 op=Call A=3 B=3 C=3 sBx=-63993 sJ=-16382460 k=0
DUMP pc=5 raw=0x00040100 op=Move A=2 B=4 C=0 sBx=-65527 sJ=-16775165 k=0
DUMP pc=6 raw=0x00030080 op=Move A=1 B=3 C=0 sBx=-65529 sJ=-16775678 k=0
DUMP pc=7 raw=0x000101b3 op=Not A=3 B=1 C=0 sBx=-65533 sJ=-16776700 k=0
DUMP pc=8 raw=0x000001c2 op=Test A=3 B=0 C=0 sBx=-65535 sJ=-16777212 k=0
DUMP pc=9 raw=0x800000b8 op=Jmp A=1 B=0 C=128 sBx=1 sJ=2 k=0
DUMP pc=10 raw=0x00010189 op=GetUpVal A=3 B=1 C=0 sBx=-65533 sJ=-16776700 k=0
DUMP pc=11 raw=0x000201c8 op=Return1 A=3 B=2 C=0 sBx=-65531 sJ=-16776188 k=0
DUMP pc=12 raw=0x0200018b op=GetTabUp A=3 B=0 C=2 sBx=-64511 sJ=-16515068 k=0
DUMP pc=13 raw=0x0100020b op=GetTabUp A=4 B=0 C=1 sBx=-65023 sJ=-16646139 k=0
DUMP pc=14 raw=0x0104020c op=GetTable A=4 B=4 C=1 sBx=-65015 sJ=-16644091 k=0
DUMP pc=15 raw=0x0300028b op=GetTabUp A=5 B=0 C=3 sBx=-63999 sJ=-16383994 k=0
DUMP pc=16 raw=0x00050239 op=Eq A=4 B=5 C=0 sBx=-65525 sJ=-16774651 k=0
DUMP pc=17 raw=0x80000038 op=Jmp A=0 B=0 C=128 sBx=1 sJ=1 k=0
DUMP pc=18 raw=0x00000206 op=LFalseSkip A=4 B=0 C=0 sBx=-65535 sJ=-16777211 k=0
DUMP pc=19 raw=0x00000207 op=LoadTrue A=4 B=0 C=0 sBx=-65535 sJ=-16777211 k=0
DUMP pc=20 raw=0x010201c4 op=Call A=3 B=2 C=1 sBx=-65019 sJ=-16645116 k=0
DUMP pc=21 raw=0x000000b9 op=Eq A=1 B=0 C=0 sBx=-65535 sJ=-16777214 k=0
DUMP pc=22 raw=0x7ffff4b8 op=Jmp A=233 B=255 C=127 sBx=0 sJ=-22 k=1
DUMP pc=23 raw=0x00020148 op=Return1 A=2 B=2 C=0 sBx=-65531 sJ=-16776189 k=0
DUMP pc=24 raw=0x7ffff3b8 op=Jmp A=231 B=255 C=127 sBx=0 sJ=-24 k=1
DUMP pc=25 raw=0x000101c7 op=Return0 A=3 B=1 C=0 sBx=-65533 sJ=-16776700 k=0
DUMP pc=0 raw=0x00000151 op=VarArgPrep A=2 B=0 C=0 sBx=-65535 sJ=-16777213 k=0
DUMP pc=1 raw=0x0000010b op=GetTabUp A=2 B=0 C=0 sBx=-65535 sJ=-16777213 k=0
DUMP pc=2 raw=0x00010180 op=Move A=3 B=1 C=0 sBx=-65533 sJ=-16776700 k=0
DUMP pc=3 raw=0x00000250 op=VarArg A=4 B=0 C=0 sBx=-65535 sJ=-16777211 k=0
DUMP pc=4 raw=0x03000144 op=Call A=2 B=0 C=3 sBx=-63999 sJ=-16383997 k=0
DUMP pc=5 raw=0x0100020b op=GetTabUp A=4 B=0 C=1 sBx=-65023 sJ=-16646139 k=0
DUMP pc=6 raw=0x000202b3 op=Not A=5 B=2 C=0 sBx=-65531 sJ=-16776186 k=0
DUMP pc=7 raw=0x00057fc3 op=TestSet A=255 B=5 C=0 sBx=-65525 sJ=-16774400 k=0
DUMP pc=8 raw=0x7fffff38 op=Jmp A=254 B=255 C=127 sBx=0 sJ=-1 k=1
DUMP pc=9 raw=0x0200028b op=GetTabUp A=5 B=0 C=2 sBx=-64511 sJ=-16515066 k=0
DUMP pc=10 raw=0x0305028e op=GetField A=5 B=5 C=3 sBx=-63989 sJ=-16381434 k=0
DUMP pc=11 raw=0x00030300 op=Move A=6 B=3 C=0 sBx=-65529 sJ=-16775673 k=0
DUMP pc=12 raw=0x00000380 op=Move A=7 B=0 C=0 sBx=-65535 sJ=-16777208 k=0
DUMP pc=13 raw=0x000302c4 op=Call A=5 B=3 C=0 sBx=-65529 sJ=-16775674 k=0
DUMP pc=14 raw=0x01000244 op=Call A=4 B=0 C=1 sBx=-65023 sJ=-16646139 k=0
DUMP pc=15 raw=0x03010246 op=Return A=4 B=1 C=3 sBx=-63997 sJ=-16383483 k=0

thread 'main' (7605031) panicked at crates/lua-vm/src/state.rs:1143:19:
index out of bounds: the len is 85 but the index is 272
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
[panic] index out of bounds: the len is 85 but the index is 272
